順位,都道府県,市町村,地点名（よみ）,降水量(mm)
1,静岡県,伊豆市,天城山(あまぎさん),489
2,静岡県,静岡市葵区,鍵穴(かぎあな),434.5
3,静岡県,静岡市清水区,清水(しみず),428
4,山梨県,南巨摩郡南部町,南部(なんぶ),419.5
5,三重県,尾鷲市,尾鷲(おわせ),416
6,静岡県,藤枝市,高根山(たかねさん),415.5
7,静岡県,伊豆市,湯ケ島(ゆがしま),388
8,静岡県,富士市,富士(ふじ),385.5
9,神奈川県,海老名市,海老名(えびな),372
10,静岡県,静岡市駿河区,静岡(しずおか),363.5
11,神奈川県,足柄下郡箱根町,箱根(はこね),361
12,東京都,三宅村,三宅島(みやけじま),358
13,神奈川県,平塚市,平塚(ひらつか),353.5
14,神奈川県,横浜市中区,横浜(よこはま),352
15,静岡県,静岡市葵区,井川(いかわ),349
16,静岡県,榛原郡川根本町,川根本町(かわねほんちょう),347
17,山梨県,南都留郡山中湖村,山中(やまなか),346
18,東京都,三宅村,三宅坪田(みやけつぼた),344
19,神奈川県,横浜市港北区,日吉(ひよし),342.5
20,鹿児島県,熊毛郡中種子町,中種子(なかたね),340.5
